#  Alaska Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
200905,30.8,1.5
200906,41.0,0.8
200907,46.5,2.3
200908,41.2,-0.7
200909,34.3,0.7
200910,25.0,5.7
200911,1.0,-4.5
200912,4.1,7.0
201001,-4.5,0.3
201002,3.6,6.6
201003,0.4,-1.4
201004,18.3,3.7
201005,31.6,2.3
201006,41.3,1.1
201007,45.0,0.8
201008,44.4,2.5
201009,34.1,0.5
201010,21.4,2.1
201011,12.2,6.7
201012,-8.4,-5.5
201101,0.2,5.0
201102,-2.7,0.3
201103,1.5,-0.3
201104,14.1,-0.5
201105,31.3,2.0
201106,42.2,2.0
201107,44.5,0.3
201108,41.8,-0.1
201109,35.6,2.0
201110,22.9,3.6
201111,-3.1,-8.6
201112,3.0,5.9
201201,-20.2,-15.4
201202,4.7,7.7
201203,-5.0,-6.8
201204,18.1,3.5
201205,28.9,-0.4
201206,41.6,1.4
201207,44.6,0.4
201208,42.4,0.5
201209,34.4,0.8
201210,19.1,-0.2
201211,-0.1,-5.6
201212,-7.3,-4.4
201301,3.9,8.7
201302,-0.8,2.2
201303,1.7,-0.1
201304,7.0,-7.6
201305,25.9,-3.4
201306,43.5,3.3
201307,46.6,2.4
201308,43.7,1.8
201309,33.7,0.1
201310,28.8,9.5
201311,7.0,1.5
201312,0.7,3.6
201401,12.8,17.6
201402,-1.1,1.9
201403,4.0,2.2
201404,17.9,3.3
201405,32.5,3.2
201406,40.0,-0.2
201407,44.7,0.5
201408,44.2,2.3
201409,34.8,1.2
201410,20.0,0.7
201411,14.3,8.8
201412,9.8,12.7
201501,0.8,5.6
201502,5.5,8.5
201503,7.0,5.2
201504,20.0,5.4
201505,35.3,6.0
201506,42.9,2.7
201507,46.2,2.0
201508,42.0,0.1
201509,32.8,-0.8
201510,26.4,7.1
201511,11.2,5.7
201512,2.3,5.2
201601,11.4,16.2
201602,10.4,13.4
201603,10.8,9.0
201604,24.7,10.1
201605,35.2,5.9
201606,42.7,2.5
201607,47.9,3.7
201608,46.0,4.1
201609,34.9,1.3
201610,22.0,2.7
201611,7.6,2.1
201612,0.1,3.0
